p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,-0.309383559616315,0.5,0.768,0,0,MTCO1P40
0,-0.590756875295882,0.585,0.871,0,0,MT-ND2
0,-0.630090207863448,0.575,0.862,0,0,MT-ND1
0,-0.635489232174736,0.482,0.817,0,0,ZFP36L2
0,-0.65685258852236,0.641,0.908,0,0,MT-CO2
0,-0.787495792410001,0.625,0.901,0,0,MT-CO1
1.82719712901947e-303,0.616729082328785,0.977,0.978,3.65439425803893e-300,0,MT3
6.66927990629243e-303,-0.716518069484079,0.642,0.887,1.33385598125849e-299,0,MT-ND4
1.03437782915211e-290,-0.615979919359998,0.643,0.895,2.06875565830421e-287,0,MT-CO3
6.12737908689475e-282,-0.587578691115197,0.568,0.836,1.22547581737895e-278,0,MT-ATP6
6.87005402328389e-282,-0.434926658599209,0.554,0.825,1.37401080465678e-278,0,MT-RNR1
6.04049336863085e-276,-0.528009013146171,0.566,0.816,1.20809867372617e-272,0,MT-ND3
1.01246602936374e-260,-1.05538233855926,0.325,0.67,2.02493205872748e-257,0,A2M
4.33427078306129e-257,-0.293829215253529,0.364,0.664,8.66854156612258e-254,0,SLC7A5
9.18341322308291e-256,-0.59310078897642,0.301,0.661,1.83668264461658e-252,0,COL4A2
1.15808831035524e-251,0.626345279983892,0.962,0.961,2.31617662071049e-248,0,DBI
4.99162730691958e-242,-0.391700509809116,0.645,0.878,9.98325461383917e-239,0,TIMP2
1.13288482757274e-241,-0.64123311711881,0.41,0.729,2.26576965514547e-238,0,RHOB
8.17226717731821e-238,-0.514031947119006,0.576,0.851,1.63445343546364e-234,0,JUN
1.87097801790669e-233,-0.584123406948969,0.352,0.707,3.74195603581338e-230,0,CTSB
2.7927568933337e-228,-0.807512462062378,0.504,0.741,5.58551378666739e-225,0,RGS5
3.06816917498832e-228,-0.280720068244045,0.604,0.835,6.13633834997663e-225,0,HLA-E
1.42083419310686e-225,-0.266930688527631,0.463,0.783,2.84166838621371e-222,0,NFIA
5.29281775592928e-222,-1.2948037920776,0.225,0.578,1.05856355118586e-218,0,HLA-DRA
8.3457626348381e-222,-0.685069145951795,0.373,0.678,1.66915252696762e-218,0,HMGB2
8.92175204989159e-217,-0.710268936034959,0.352,0.666,1.78435040997832e-213,0,ZFP36
5.41535330853346e-213,-0.395216879469782,0.512,0.758,1.08307066170669e-209,0,MTATP6P1
5.43966079928514e-213,-0.546311189922319,0.347,0.714,1.08793215985703e-209,0,DNAJB1
3.55579672085201e-210,-0.533634564570686,0.417,0.698,7.11159344170402e-207,0,KLF6
1.27657901328266e-207,-0.365414900374905,0.166,0.547,2.55315802656531e-204,0,TPX2
5.663528877056e-205,-0.582785749526766,0.323,0.617,1.1327057754112e-201,0,HLA-DPB1
2.84819033729612e-200,-0.49072947817775,0.721,0.933,5.69638067459223e-197,0,MT-RNR2
4.49013162309657e-200,-0.435116462660933,0.347,0.656,8.98026324619315e-197,0,CA2
8.30625634786838e-199,-1.51021108879037,0.242,0.575,1.66125126957368e-195,0,CD74
2.82471559601192e-198,-0.907074199855227,0.186,0.534,5.64943119202383e-195,0,APOC1
1.30664695989057e-197,-0.322478485711677,0.433,0.678,2.61329391978113e-194,0,IER5
3.62909315180372e-192,-0.465191407858994,0.597,0.855,7.25818630360744e-189,0,EGR1
6.01832327402694e-192,-0.49013470549656,0.135,0.494,1.20366465480539e-188,0,HLA-DMA
1.8625195942457e-184,-0.264272950124733,0.503,0.807,3.72503918849139e-181,0,DDR1
4.32417442140735e-182,-0.390424393095985,0.259,0.563,8.6483488428147e-179,0,TYMP
5.21405130470026e-180,-0.348085237065574,0.355,0.663,1.04281026094005e-176,0,IER2
4.04739121934342e-179,-0.384961500135257,0.353,0.632,8.09478243868684e-176,0,S100A11
3.28897752961791e-175,-0.49318259156163,0.2,0.565,6.57795505923581e-172,0,FOSB
2.53681715164265e-173,-0.304928650750895,0.262,0.576,5.0736343032853e-170,0,MYH9
3.79264058192362e-172,-0.305532656737136,0.388,0.633,7.58528116384723e-169,0,CAPG
9.59170605204183e-171,-0.845037192774632,0.46,0.699,1.91834121040837e-167,0,COL4A1
7.79642501984755e-168,-0.767347609400279,0.339,0.621,1.55928500396951e-164,0,UBE2C
9.49534229018577e-167,-0.526102204794367,0.686,0.911,1.89906845803715e-163,0,FOS
1.44230555251498e-164,-1.09733987666065,0.451,0.733,2.88461110502997e-161,0,IGFBP7
2.08690203481146e-161,-1.00008163279233,0.391,0.638,4.17380406962291e-158,0,DUSP1
1.84882256423987e-160,-0.748761001742659,0.388,0.613,3.69764512847974e-157,0,OLFML3
4.50003686111553e-160,-0.3554218559749,0.501,0.744,9.00007372223107e-157,0,NPC2
6.96610025089854e-158,-0.327868780506184,0.297,0.583,1.39322005017971e-154,0,PLXND1
2.93485476502081e-154,-0.416431136132243,0.259,0.553,5.86970953004163e-151,0,KLF2
1.10447869123859e-152,-0.500021262572965,0.464,0.72,2.20895738247717e-149,0,CTSD
2.81398482041664e-151,-0.295781455772331,0.275,0.591,5.62796964083329e-148,0,NREP
8.200096723349e-151,-0.30725333637384,0.307,0.638,1.6400193446698e-147,0,ZFP36L1
6.26563136149433e-145,-0.361868497712895,0.313,0.596,1.25312627229887e-141,0,PBK
1.32323764256047e-144,-0.623171537479517,0.381,0.649,2.64647528512093e-141,0,BIRC5
8.00402736838495e-142,-0.519150405191479,0.372,0.64,1.60080547367699e-138,0,PTTG1
1.91754513517258e-140,-0.337994134480163,0.39,0.653,3.83509027034516e-137,0,KIAA0101
4.17458041140665e-139,-0.738339641373215,0.345,0.636,8.34916082281331e-136,0,SAT1
4.38908005949372e-139,-0.886749218004866,0.183,0.5,8.77816011898745e-136,0,SRGN
4.73168618063474e-137,-0.731379873860908,0.253,0.541,9.46337236126948e-134,0,CYBA
4.85063984665499e-136,-0.407030086183553,0.345,0.634,9.70127969330999e-133,0,JUNB
7.64731387852959e-136,-0.32273687291992,0.485,0.767,1.52946277570592e-132,0,STMN1
3.93780233839479e-135,-0.456596238571411,0.686,0.874,7.87560467678958e-132,0,HSPA1A
1.65147612503145e-134,-0.754332203595347,0.268,0.55,3.30295225006289e-131,0,HLA-DPA1
3.01444942988792e-132,-1.06556154563566,0.172,0.495,6.02889885977585e-129,0,C1QB
5.62522057119051e-131,-0.253681904329444,0.203,0.501,1.1250441142381e-127,0,RNASE1
3.16340878866241e-128,-1.0487553155382,0.164,0.481,6.32681757732481e-125,0,RGS1
6.61430908259969e-127,-0.338563481914497,0.602,0.834,1.32286181651994e-123,0,HMGN2
1.64695698240479e-123,-0.708422058799977,0.722,0.91,3.29391396480958e-120,0,APOE
5.02543883548641e-123,-0.328150412744621,0.305,0.571,1.00508776709728e-119,0,UBE2T
6.23806619217976e-123,-0.510373824603985,0.185,0.494,1.24761323843595e-119,0,MSR1
8.54473135705718e-123,-0.414536263280947,0.249,0.528,1.70894627141144e-119,0,OTUD1
3.96299226080853e-122,-0.908161526059098,0.222,0.512,7.92598452161705e-119,0,LAPTM5
1.69194846733903e-121,-0.728142919193627,0.176,0.487,3.38389693467807e-118,0,CCL3
2.11311820111568e-121,-0.395179420478421,0.441,0.709,4.22623640223137e-118,0,TUBB
1.71886150986175e-120,-0.487383550934006,0.156,0.466,3.4377230197235e-117,0,PADI2
2.30939861979567e-116,-0.436143905086445,0.228,0.502,4.61879723959135e-113,0,ITGB2
