	number	x	y	cluster	cellID	cellGroup	aggregate	locusCt	median
0	PJ016_1	7.886618583310891	-1.2067446323496	0	PJ016_1	sample	247.072839619612	8199	1.00113545496125
1	PJ016_2	-5.377766465986889	2.06153310344567	3	PJ016_2	sample	182.390089237284	8199	1.00113545496125
2	PJ016_3	7.801111350557179	-0.23166565384388801	0	PJ016_3	sample	246.980001197863	8199	1.00113545496125
3	PJ016_4	-5.35579266931615	0.468721737807662	5	PJ016_4	sample	176.655033890099	8199	1.00113545496125
4	PJ016_5	-6.369193297834611	1.31412102969469	3	PJ016_5	sample	252.70572699572003	8199	1.00113545496125
5	PJ016_6	9.43640078182518	2.26713520640148	0	PJ016_6	sample	168.055102851269	8199	1.00113545496125
6	PJ016_7	-5.90495233970518	3.27559794122137	1	PJ016_7	sample	180.94455942636003	8199	1.00113545496125
7	PJ016_8	8.94086829718575	-4.74785915020513	6	PJ016_8	sample	551.48579877155	8199	1.00113545496125
8	PJ016_9	9.165914609084659	-0.11758334123956699	0	PJ016_9	sample	241.563148333521	8199	1.00113545496125
9	PJ016_10	-4.31921518173115	2.90251508198618	1	PJ016_10	sample	171.35668237495898	8199	1.00113545496125
10	PJ016_11	-5.97350356059517	0.669469115282908	3	PJ016_11	sample	198.97620451399501	8199	1.00113545496125
11	PJ016_12	7.33511293986798	-0.7689468685843979	0	PJ016_12	sample	238.03447636086798	8199	1.00113545496125
12	PJ016_13	7.83522937248189	-0.45598854308790004	0	PJ016_13	sample	217.77930347856997	8199	1.00113545496125
13	PJ016_14	-6.059568688194161	3.7924851159707402	1	PJ016_14	sample	157.326276377286	8199	1.00113545496125
14	PJ016_15	10.288484746057499	-0.8258888408953771	0	PJ016_15	sample	233.321568363011	8199	1.00113545496125
15	PJ016_16	6.45759246158888	-3.8438518719235404	8	PJ016_16	sample	230.964393652063	8199	1.00113545496125
16	PJ016_17	-5.967651120263961	3.4503278005955296	1	PJ016_17	sample	165.817575569986	8199	1.00113545496125
17	PJ016_18	8.2138893370849	-1.381134802168	0	PJ016_18	sample	225.74865236327202	8199	1.00113545496125
18	PJ016_19	-7.00912218815468	1.95256194475627	3	PJ016_19	sample	191.381854090723	8199	1.00113545496125
19	PJ016_20	-6.66991403342121	1.30520579903736	3	PJ016_20	sample	176.790725294345	8199	1.00113545496125
20	PJ016_21	7.58217827992134	-4.84780245709247	6	PJ016_21	sample	257.983512760296	8199	1.00113545496125
21	PJ016_22	7.4069259794608895	-0.763124453304755	0	PJ016_22	sample	279.27149961233897	8199	1.00113545496125
22	PJ016_23	8.682132003261241	-4.27681900563527	6	PJ016_23	sample	275.919209374519	8199	1.00113545496125
23	PJ016_24	-2.5215995168434	-0.5553612655848841	5	PJ016_24	sample	216.097194310736	8199	1.00113545496125
24	PJ016_25	-3.24318711263152	0.199981126803983	5	PJ016_25	sample	175.386398123808	8199	1.00113545496125
25	PJ016_26	-2.37032583914171	0.6976458409391401	4	PJ016_26	sample	179.078891355499	8199	1.00113545496125
26	PJ016_27	-5.739161945888701	0.722705879175467	2	PJ016_27	sample	233.17750535050098	8199	1.00113545496125
27	PJ016_28	-5.95803152400869	1.69288081599846	3	PJ016_28	sample	189.86648040292	8199	1.00113545496125
28	PJ016_29	-5.013514902401241	3.68831950537758	1	PJ016_29	sample	213.449322854551	8199	1.00113545496125
