cellID	cellGroup	aggregate	locusCt	median
X1772121_282_G06	reference	162.280817468429	6721	1.00080211398244
X1772075_298_B11	reference	123.047694414944	6721	1.00080211398244
X1772075_298_A10	reference	159.474336506797	6721	1.00080211398244
X1772122_203_F12	reference	167.229482696052	6721	1.00080211398244
X1772122_200_G05	reference	185.973788809208	6721	1.00080211398244
X1772122_199_E09	reference	159.086657116106	6721	1.00080211398244
X1772122_199_D02	reference	142.543036306958	6721	1.00080211398244
X1772122_199_A05	reference	139.983487346849	6721	1.00080211398244
X1772122_199_E08	reference	186.889718189033	6721	1.00080211398244
X1772122_199_H01	reference	169.295039779218	6721	1.00080211398244
X1772122_199_B03	reference	184.548193096881	6721	1.00080211398244
X1772122_199_G03	reference	167.467297409217	6721	1.00080211398244
X1772122_199_D03	reference	162.338442936926	6721	1.00080211398244
X1772122_318_C05	reference	111.902624279858	6721	1.00080211398244
X1772122_203_C09	reference	116.539974215183	6721	1.00080211398244
X1772122_316_B03	reference	84.3346129158468	6721	1.00080211398244
X1772122_207_B03	reference	82.6058531833467	6721	1.00080211398244
X1772122_318_D01	reference	102.451683806031	6721	1.00080211398244
X1772122_201_A09	reference	99.5253318943601	6721	1.00080211398244
X1772122_203_C01	reference	94.2225855017833	6721	1.00080211398244
X1772122_264_G10	reference	95.6482636516722	6721	1.00080211398244
X1772122_203_G05	reference	143.719933200633	6721	1.00080211398244
X1772122_199_H10	reference	100.82584550989	6721	1.00080211398244
X1772122_199_G09	reference	113.477307761483	6721	1.00080211398244
X1772122_199_D01	reference	111.806695650018	6721	1.00080211398244
X1772122_199_C05	reference	118.705455972619	6721	1.00080211398244
X1772122_199_C10	reference	134.142349279011	6721	1.00080211398244
X1772122_318_D07	reference	102.639649324135	6721	1.00080211398244
X1772075_299_G11	reference	103.041596158107	6721	1.00080211398244
X1772122_199_H07	reference	99.5490144504345	6721	1.00080211398244
X1772122_201_F06	reference	70.9437662749798	6721	1.00080211398244
X1772122_264_H08	reference	95.0583093926682	6721	1.00080211398244
X1772122_223_H01	reference	64.4812579960616	6721	1.00080211398244
X1772096_095_H07	reference	49.2570401606632	6721	1.00080211398244
X1772122_224_A12	reference	63.0509104136436	6721	1.00080211398244
X1772121_282_A02	reference	73.3431481652091	6721	1.00080211398244
X1772121_283_A04	reference	90.8628864232079	6721	1.00080211398244
X1772121_282_B12	reference	118.015288212048	6721	1.00080211398244
X1772122_199_D10	reference	123.026939189919	6721	1.00080211398244
X1772122_199_A09	reference	99.6333782718791	6721	1.00080211398244
X1772122_199_D05	reference	115.385990398569	6721	1.00080211398244
X1772122_200_F06	reference	86.3251773313764	6721	1.00080211398244
X1772122_200_D01	reference	108.889775782518	6721	1.00080211398244
X1772122_199_B07	reference	113.229978835522	6721	1.00080211398244
X1772122_199_H03	reference	77.7087209636972	6721	1.00080211398244
X1772122_199_E03	reference	68.9162727022035	6721	1.00080211398244
X1772122_201_G11	reference	112.87137509292	6721	1.00080211398244
X1772122_200_B06	reference	102.821689372604	6721	1.00080211398244
X1772096_095_C02	reference	94.6651924971863	6721	1.00080211398244
X1772122_199_E05	reference	163.12425680149	6721	1.00080211398244
X1772122_199_B12	reference	145.651271254106	6721	1.00080211398244
X1772122_199_D08	reference	129.775654533552	6721	1.00080211398244
X1772122_199_H08	reference	101.538403627267	6721	1.00080211398244
X1772122_199_F01	reference	114.383401292515	6721	1.00080211398244
X1772122_199_A06	reference	126.424402374549	6721	1.00080211398244
X1772122_203_H11	reference	129.989239100621	6721	1.00080211398244
X1772122_199_A07	reference	157.212594480226	6721	1.00080211398244
X1772122_199_A01	reference	152.108313002563	6721	1.00080211398244
X1772122_199_D07	reference	153.870557469769	6721	1.00080211398244
X1772122_264_H05	reference	139.773721232643	6721	1.00080211398244
X1772122_203_H03	reference	83.3515420144763	6721	1.00080211398244
X1772122_203_F09	reference	75.4418025905873	6721	1.00080211398244
X1772122_223_F03	reference	70.5022548126647	6721	1.00080211398244
X1772121_293_E01	reference	91.1118767660708	6721	1.00080211398244
X1772122_203_D01	reference	103.929689872533	6721	1.00080211398244
X1772122_199_D06	reference	171.774547502566	6721	1.00080211398244
X1772122_199_D04	reference	141.82918341373	6721	1.00080211398244
X1772122_199_C11	reference	80.1089035670868	6721	1.00080211398244
X1772121_288_B06	reference	92.5741610084019	6721	1.00080211398244
X1772121_288_H11	reference	92.8692732140993	6721	1.00080211398244
X1772122_200_A01	reference	96.6482021091753	6721	1.00080211398244
X1772122_199_F04	reference	106.390788546881	6721	1.00080211398244
X1772122_200_C04	reference	90.269111494773	6721	1.00080211398244
X1772121_282_G05	reference	125.3988754876	6721	1.00080211398244
X1772096_095_G03	reference	116.401338046277	6721	1.00080211398244
X1772122_200_B01	reference	145.099443775844	6721	1.00080211398244
X1772075_299_C08	reference	101.61555590804	6721	1.00080211398244
X1772078_107_A12	reference	113.487644170797	6721	1.00080211398244
X1772121_282_A06	reference	176.154792871254	6721	1.00080211398244
X1772122_203_G09	reference	93.3036586387458	6721	1.00080211398244
X1772122_203_A02	reference	77.8141309505707	6721	1.00080211398244
X1772122_317_D06	reference	91.416474306198	6721	1.00080211398244
X1772122_226_E09	reference	108.956624714317	6721	1.00080211398244
X1772122_221_E03	reference	113.606703626752	6721	1.00080211398244
X1772122_203_B09	reference	99.8805940748594	6721	1.00080211398244
X1772122_224_B11	reference	119.053026160758	6721	1.00080211398244
X1772122_221_A07	reference	68.9595645949574	6721	1.00080211398244
X1772122_203_D07	reference	65.5451672617152	6721	1.00080211398244
X1772071_027_G06	reference	76.6921423474016	6721	1.00080211398244
X1772075_298_E10	reference	90.2950220915668	6721	1.00080211398244
X1772078_107_D07	reference	108.862264419414	6721	1.00080211398244
X1772122_203_E01	reference	95.7062230107796	6721	1.00080211398244
X1772121_293_D05	reference	86.575208925538	6721	1.00080211398244
X1772122_199_A08	reference	128.666220422936	6721	1.00080211398244
X1772075_298_C12	reference	124.986458507079	6721	1.00080211398244
X1772122_200_F07	reference	131.784242652553	6721	1.00080211398244
X1772122_199_F03	reference	149.038784237187	6721	1.00080211398244
X1772121_293_G11	reference	147.490567854969	6721	1.00080211398244
X1772075_298_E05	reference	141.732728797944	6721	1.00080211398244
X1772122_236_C01	reference	117.180534154779	6721	1.00080211398244
X1772096_095_H08	reference	119.576300340204	6721	1.00080211398244
X1772121_288_F06	reference	151.972938337951	6721	1.00080211398244
X1772122_200_D11	reference	115.906895906868	6721	1.00080211398244
X1772121_282_D01	reference	120.441015442762	6721	1.00080211398244
X1772122_199_C03	reference	129.974523485768	6721	1.00080211398244
X1772122_200_B08	reference	159.792855394224	6721	1.00080211398244
X1772122_203_G02	reference	128.076393299104	6721	1.00080211398244
X1772096_095_F06	reference	133.743219664391	6721	1.00080211398244
X1772122_207_F08	reference	166.435321981561	6721	1.00080211398244
