cellID	cellGroup	aggregate	locusCt	median
X1772122_199_H07	reference	64.6817780740147	5611	1.00053143027704
X1772122_201_F06	reference	42.3544981373742	5611	1.00053143027704
X1772075_299_G11	reference	72.3106562519705	5611	1.00053143027704
X1772122_199_A08	reference	83.2255116591508	5611	1.00053143027704
X1772075_298_C12	reference	86.0034701491018	5611	1.00053143027704
X1772121_282_A02	reference	38.8312237509638	5611	1.00053143027704
X1772096_095_H07	reference	30.6705022493365	5611	1.00053143027704
X1772122_318_E04	reference	43.3265245352554	5611	1.00053143027704
X1772122_223_H01	reference	47.867735539516	5611	1.00053143027704
X1772122_221_G02	reference	34.7444477626541	5611	1.00053143027704
X1772121_283_A04	reference	63.7763776460377	5611	1.00053143027704
X1772122_318_E06	reference	48.8562451263442	5611	1.00053143027704
X1772121_293_B08	reference	50.4351333664299	5611	1.00053143027704
X1772122_199_C11	reference	54.7080297342465	5611	1.00053143027704
X1772122_199_G09	reference	66.6990092414749	5611	1.00053143027704
X1772122_199_D01	reference	65.6422481170931	5611	1.00053143027704
X1772122_264_G10	reference	63.0819973132481	5611	1.00053143027704
X1772122_203_F01	reference	70.1985795272965	5611	1.00053143027704
X1772122_199_C10	reference	92.2975999762113	5611	1.00053143027704
X1772122_318_D01	reference	72.0065019610332	5611	1.00053143027704
X1772122_201_A09	reference	69.0231471474573	5611	1.00053143027704
X1772122_199_C01	reference	68.6393118385846	5611	1.00053143027704
X1772122_199_C02	reference	82.054731033426	5611	1.00053143027704
X1772122_207_F03	reference	96.7870293012817	5611	1.00053143027704
X1772075_298_B11	reference	87.4730518389834	5611	1.00053143027704
X1772121_282_B12	reference	68.1866309826778	5611	1.00053143027704
X1772122_236_C01	reference	81.3093448452966	5611	1.00053143027704
X1772121_282_H06	reference	79.7241305344239	5611	1.00053143027704
X1772078_107_A01	reference	93.7337853754897	5611	1.00053143027704
X1772075_298_C04	reference	106.607476606707	5611	1.00053143027704
X1772075_298_B09	reference	103.037279561193	5611	1.00053143027704
X1772075_299_C08	reference	69.7593477341252	5611	1.00053143027704
X1772078_107_A12	reference	90.834002527679	5611	1.00053143027704
X1772121_291_H09	reference	106.837340667121	5611	1.00053143027704
X1772075_298_A05	reference	109.22877783053	5611	1.00053143027704
X1772122_199_G03	reference	121.084185557581	5611	1.00053143027704
X1772122_199_D03	reference	108.418650660052	5611	1.00053143027704
X1772122_199_H01	reference	111.001311291404	5611	1.00053143027704
X1772122_199_A05	reference	95.8860990552628	5611	1.00053143027704
X1772122_199_B03	reference	114.082581256252	5611	1.00053143027704
X1772122_199_E09	reference	104.435910708402	5611	1.00053143027704
X1772122_199_E08	reference	120.735538861175	5611	1.00053143027704
X1772122_199_D02	reference	101.62458262199	5611	1.00053143027704
X1772121_282_G06	reference	106.362952935619	5611	1.00053143027704
X1772075_298_A10	reference	119.023041152654	5611	1.00053143027704
X1772122_199_D10	reference	77.3673998642094	5611	1.00053143027704
X1772122_199_A09	reference	61.9674084931594	5611	1.00053143027704
X1772122_199_B12	reference	89.6270283592854	5611	1.00053143027704
X1772122_199_D08	reference	87.7057258736597	5611	1.00053143027704
X1772122_201_G11	reference	78.3481183316755	5611	1.00053143027704
X1772096_095_C02	reference	64.505949873131	5611	1.00053143027704
X1772122_200_B06	reference	75.1200802934756	5611	1.00053143027704
X1772122_199_E05	reference	116.754531646722	5611	1.00053143027704
X1772122_199_A07	reference	113.139058620118	5611	1.00053143027704
X1772122_199_A01	reference	106.92853746408	5611	1.00053143027704
X1772122_199_H08	reference	69.8168026468113	5611	1.00053143027704
X1772122_199_F01	reference	72.2242875484826	5611	1.00053143027704
