cellID	cellGroup	aggregate	locusCt	median
X1772122_199_D06	reference	156.020765796565	6165	1.00081626328509
X1772122_199_D04	reference	131.493753547993	6165	1.00081626328509
X1772122_203_G02	reference	110.796941367293	6165	1.00081626328509
X1772122_201_G12	reference	95.2007207517971	6165	1.00081626328509
X1772122_203_D01	reference	76.9670219462279	6165	1.00081626328509
X1772121_293_E01	reference	86.0313999030424	6165	1.00081626328509
X1772122_203_H03	reference	77.5042820531427	6165	1.00081626328509
X1772122_203_F09	reference	76.4802148926844	6165	1.00081626328509
X1772122_199_F06	reference	93.9921835586955	6165	1.00081626328509
X1772122_199_B07	reference	92.9825504378265	6165	1.00081626328509
X1772122_208_B06	reference	86.6555847504662	6165	1.00081626328509
X1772121_291_A08	reference	81.0283136526169	6165	1.00081626328509
X1772122_199_H03	reference	65.0082338158785	6165	1.00081626328509
X1772078_001_H09	reference	65.5978269288293	6165	1.00081626328509
X1772122_199_E03	reference	58.2311068444602	6165	1.00081626328509
X1772122_201_E02	reference	51.2800411005449	6165	1.00081626328509
X1772121_288_H11	reference	91.9870238087385	6165	1.00081626328509
X1772121_288_B06	reference	90.1864364782613	6165	1.00081626328509
X1772122_200_A01	reference	92.5852892237493	6165	1.00081626328509
X1772122_199_F04	reference	91.3124643977217	6165	1.00081626328509
X1772122_200_C04	reference	73.7145334607493	6165	1.00081626328509
X1772122_199_C05	reference	108.844835673242	6165	1.00081626328509
X1772122_199_B12	reference	128.575220486958	6165	1.00081626328509
X1772122_199_D10	reference	109.72485188013	6165	1.00081626328509
X1772122_199_A09	reference	99.8462034626371	6165	1.00081626328509
X1772122_200_F06	reference	84.1968581564305	6165	1.00081626328509
X1772122_200_D01	reference	97.3230023064291	6165	1.00081626328509
X1772122_199_D08	reference	121.19037895529	6165	1.00081626328509
X1772122_199_E05	reference	154.169874996838	6165	1.00081626328509
X1772122_318_C06	reference	100.393345348307	6165	1.00081626328509
X1772122_199_F01	reference	107.286906518412	6165	1.00081626328509
X1772122_199_A07	reference	141.042928009998	6165	1.00081626328509
