cellID	cellGroup	aggregate	locusCt	median
X1772121_282_B02	reference	57.9969699879688	4855	1.00032691811039
X1772096_095_D10	reference	68.0846068326281	4855	1.00032691811039
X1772122_318_D07	reference	47.7716868478822	4855	1.00032691811039
X1772122_264_H06	reference	54.7554957719732	4855	1.00032691811039
X1772078_078_F11	reference	60.9950717812107	4855	1.00032691811039
X1772122_226_C10	reference	20.3678554295607	4855	1.00032691811039
X1772121_283_F02	reference	18.9632137928617	4855	1.00032691811039
X1772096_160_G11	reference	20.0870711200973	4855	1.00032691811039
X1772122_226_D12	reference	23.7850856615354	4855	1.00032691811039
X1772121_282_A11	reference	23.7689242959443	4855	1.00032691811039
X1772096_095_H04	reference	32.4725424250421	4855	1.00032691811039
X1772122_224_D11	reference	30.1468301971085	4855	1.00032691811039
X1772122_317_E08	reference	28.6148018105031	4855	1.00032691811039
X1772122_223_H07	reference	37.3650874554889	4855	1.00032691811039
X1772122_220_C06	reference	34.3616474037086	4855	1.00032691811039
X1772122_224_F10	reference	39.3011558993214	4855	1.00032691811039
X1772121_293_C03	reference	27.8455367561513	4855	1.00032691811039
X1772122_208_E10	reference	33.9054620179635	4855	1.00032691811039
X1772096_160_G12	reference	39.6979955632728	4855	1.00032691811039
X1772078_107_F06	reference	43.3963353263201	4855	1.00032691811039
X1772121_282_E12	reference	47.3996394768064	4855	1.00032691811039
X1772121_293_A08	reference	28.3550098578814	4855	1.00032691811039
X1772067_089_B06	reference	27.4982156817136	4855	1.00032691811039
X1772121_291_B05	reference	29.1068239538899	4855	1.00032691811039
X1772122_208_F11	reference	48.2640162108851	4855	1.00032691811039
X1772121_282_D11	reference	29.3564027115049	4855	1.00032691811039
X1772121_291_A02	reference	23.7057759846648	4855	1.00032691811039
X1772121_293_G06	reference	37.0178967328398	4855	1.00032691811039
X1772121_293_F04	reference	37.5957147799154	4855	1.00032691811039
X1772071_029_B07	reference	34.7824174604058	4855	1.00032691811039
X1772122_221_C10	reference	29.7539363123485	4855	1.00032691811039
X1772121_293_B05	reference	28.328693876203	4855	1.00032691811039
X1772121_282_F12	reference	37.0370526373769	4855	1.00032691811039
X1772071_027_E03	reference	36.3217006090694	4855	1.00032691811039
X1772122_223_A12	reference	33.4564848776646	4855	1.00032691811039
X1772122_226_E08	reference	34.5656088223577	4855	1.00032691811039
X1772122_264_F04	reference	38.7999082234175	4855	1.00032691811039
X1772121_293_E02	reference	30.9174938695144	4855	1.00032691811039
X1772121_282_F06	reference	35.7724629365849	4855	1.00032691811039
X1772122_207_H05	reference	41.2133653626303	4855	1.00032691811039
X1772075_298_E10	reference	44.4561917356111	4855	1.00032691811039
X1772075_299_H08	reference	38.9605876724008	4855	1.00032691811039
X1772075_299_B10	reference	35.3464934683963	4855	1.00032691811039
X1772121_282_D02	reference	38.8619189718353	4855	1.00032691811039
X1772121_291_H06	reference	31.5501255798493	4855	1.00032691811039
X1772121_282_C06	reference	40.3632779298384	4855	1.00032691811039
X1772121_293_E08	reference	38.0207778559286	4855	1.00032691811039
X1772122_264_C06	reference	32.863804843007	4855	1.00032691811039
X1772121_282_E05	reference	24.6049913014288	4855	1.00032691811039
X1772121_291_E09	reference	26.6759507237334	4855	1.00032691811039
X1772121_282_G04	reference	37.3691195951953	4855	1.00032691811039
X1772121_282_F01	reference	18.31620145381	4855	1.00032691811039
X1772078_001_A07	reference	18.1584412049389	4855	1.00032691811039
X1772121_291_H11	reference	22.130020198709	4855	1.00032691811039
X1772122_207_B05	reference	32.9397443849923	4855	1.00032691811039
X1772122_264_C10	reference	22.2304693595619	4855	1.00032691811039
X1772122_236_D04	reference	21.228688534534	4855	1.00032691811039
X1772122_207_G08	reference	21.063921499131	4855	1.00032691811039
X1772121_288_E09	reference	21.2891997225053	4855	1.00032691811039
X1772121_282_F02	reference	18.2692937067414	4855	1.00032691811039
X1772121_283_C09	reference	19.6741985411876	4855	1.00032691811039
X1772096_095_G10	reference	25.672810120238	4855	1.00032691811039
X1772067_089_H12	reference	29.1684200714768	4855	1.00032691811039
X1772121_293_A12	reference	20.6493600407246	4855	1.00032691811039
X1772078_002_A11	reference	17.6191425990017	4855	1.00032691811039
X1772075_299_H12	reference	29.1506661570901	4855	1.00032691811039
X1772122_200_E09	reference	24.8916959590087	4855	1.00032691811039
X1772121_291_C03	reference	22.5345427781167	4855	1.00032691811039
X1772122_207_D06	reference	22.4731970008218	4855	1.00032691811039
X1772122_207_C03	reference	17.8421100011653	4855	1.00032691811039
X1772122_224_G07	reference	17.1079098865668	4855	1.00032691811039
X1772078_002_C08	reference	19.0293097250391	4855	1.00032691811039
X1772121_293_C05	reference	21.4289554968743	4855	1.00032691811039
X1772122_208_B04	reference	13.9664858772015	4855	1.00032691811039
X1772121_283_G11	reference	16.3979906949365	4855	1.00032691811039
X1772121_293_E04	reference	22.2216933623893	4855	1.00032691811039
X1772122_318_F04	reference	28.6559176626461	4855	1.00032691811039
X1772121_288_G06	reference	26.4497748171999	4855	1.00032691811039
X1772078_001_A06	reference	25.6867153167653	4855	1.00032691811039
X1772075_299_F04	reference	38.7573425269116	4855	1.00032691811039
X1772122_226_H07	reference	32.9453100215218	4855	1.00032691811039
X1772122_226_A10	reference	27.063934269787	4855	1.00032691811039
X1772121_291_B10	reference	38.7065943654648	4855	1.00032691811039
X1772121_293_A06	reference	15.6378107283238	4855	1.00032691811039
X1772121_288_H02	reference	17.7002574692074	4855	1.00032691811039
X1772121_283_B04	reference	21.6320417120373	4855	1.00032691811039
X1772075_299_B04	reference	20.3654279388354	4855	1.00032691811039
X1772122_226_G11	reference	26.094828926483	4855	1.00032691811039
X1772122_223_H04	reference	27.8737211255792	4855	1.00032691811039
X1772122_208_D06	reference	24.1490484248038	4855	1.00032691811039
X1772122_223_G03	reference	24.463703645826	4855	1.00032691811039
X1772122_223_A05	reference	23.1537279341798	4855	1.00032691811039
X1772078_002_E05	reference	20.3685440320701	4855	1.00032691811039
X1772078_002_C04	reference	22.0265074244967	4855	1.00032691811039
X1772122_319_D04	reference	7.97558989745255	4855	1.00032691811039
X1772078_002_B03	reference	8.50708090412135	4855	1.00032691811039
X1772122_236_A12	reference	9.81616148325768	4855	1.00032691811039
X1772122_319_E10	reference	13.9886986762237	4855	1.00032691811039
X1772078_002_E07	reference	13.6204896244331	4855	1.00032691811039
X1772122_319_E08	reference	18.7759673331317	4855	1.00032691811039
X1772078_002_A04	reference	29.0051387972613	4855	1.00032691811039
